x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,y
0.789216369,0.916666589,0.411764981,0.539216135,0.240196083,0,0.112744928,0.436274423,0.519607834,0.676470506,0.80392166,0.779412218,0.759803917,0.892157147,1,1
0,0.381468002,0.417568545,0.774969519,0.762936005,0.723224582,0.991576448,0.938627884,0.947051436,0.691937628,0.865222253,0.847171523,0.931407959,0.913357228,1,1
0.340664705,1,0.879121013,0.791207697,0.626376909,0.461541264,0.230774274,0.318690018,0.318690018,0.285717061,0.538463593,0.340664705,0.274730932,0.285717061,0,0
0.03646636,0.046873386,0,0.083328753,0.291662728,0.624990932,0.531244161,0.390619607,0.229159018,0.499994504,0.614586104,0.885406202,0.812497664,1,0.895826418,1
0.722222358,0.933337556,0.722222358,0.777778861,0.655557478,0.86667024,0.822223332,0.722222358,1,0,0.277773988,0.222218703,0.288884801,0.14444301,0.511112031,1
0.211429051,0,0.774286543,0.779999869,0.637142726,0.668571472,0.648571559,0.571428571,0.728572301,0.831428528,1,0.845715114,0.794286455,0.848571777,0.720000131,1
0,0.114815399,0.111112661,0.070371207,0.322223666,0.555553715,0.496296826,0.381479683,0.285184949,0.177778514,0.718516917,0.881480119,0.766663848,0.748144054,1,1
0.681035099,0.867456819,0.892241688,0.773707667,0.671335976,0.8642246,1,0.60883613,0.474137314,0.335129696,0.726293566,0.215516625,0,0.661638085,0.223060114,0
0.032089139,0.433154999,0.454548219,1,0.855619607,0.823529087,0.438503649,0.705885036,0.925135478,0.438503649,0.545454545,0.299466379,0.39572412,0,0.213905938,0
0.981423501,1,0.850052454,0.673217205,0.492243447,0.563600805,0.65253442,0.41985492,0.577043435,0.370218841,0.1127213,0,0.102381129,0.29679589,0.169596721,1
0,0.407762055,0.34627355,0.618116649,0.343047141,0.216825566,0.132684766,0.022657482,0.1262112,0.556633331,0.802587352,0.702262636,0.90938304,1,0.987058055,1
1,0.707866231,0.38764185,0.609552159,0.76123778,0.59831223,0.441012171,0.4213469,0.148878402,0.098317756,0.157306199,0.095505625,0.182588364,0.511236859,0,1
0.275310647,0,0.32238014,0.547957105,0.650976949,0.777086886,0.79396099,0.792184412,0.79840108,0.904973402,0.952930846,0.968028371,1,0.841918433,0.825932619,1
0.378906524,0.277344734,0.296875675,0.125001304,0.550782385,0.480469804,0.226563094,0.550782385,0.66015685,0.589844268,1,0.800782013,0.210937744,0.15234492,0,1
0,0.401272282,0.445860564,0.331210545,0.369429073,0.853505382,0.560513364,0.515926473,0.305732918,0.522292054,0.649687146,0.993628854,0.490447455,1,0.872610473,1
0.032377134,0,0.104314652,0.154680476,0.133096243,0.133096243,0.17625844,0.158274453,0.320147583,0.600720676,0.582731986,0.762590672,0.881293769,0.79856335,1,1
0,0.265815982,0.259436354,0.319510721,0.379851265,0.342371013,0.338649606,0.334928198,0.551834035,0.494152219,0.568049029,0.711589396,0.737373579,0.848750641,1,0
1,0.931814728,0.962116076,0.772720583,0.969693826,0.946965402,0.537870655,0.378781336,0.446966608,0.325751563,0.446966608,0.227272179,0,0.242420441,0.106052308,1
0,0.258623726,0.634482355,0.558624226,0.844829615,1,0.520689456,0.555175805,0.475863549,0.448276895,0.755175662,0.844829615,0.851727883,0.651726599,0.589657162,1
0.440369115,0.01529535,0,0.345565919,0.755349612,0.532113506,0.311928288,0.440369115,0.229357677,0.16819607,0.660555652,0.513760669,0.49541575,1,0.84097771,0
1,0.503230119,0.051614254,0.619359775,0.861292531,0.616133682,0.58387115,0.725806322,0.532258506,0.529034025,0.545162875,0,0.032259311,0.248389772,0.222582645,1
0.792457408,1,0.709149202,0.320081999,0,0.262788204,0.466823194,0.336451399,0.456298606,0.532300797,0.631102397,0.904413405,0.963168402,0.521192799,0.677579006,1
0.016004314,0.032000698,0,0.320006979,0.056003204,0.392002601,1,0.752004505,0.583998858,0.424003299,0.616007487,0.288006281,0.744002348,0.911992133,0.496014783,1
0.559124097,0.499603903,0.430696207,0.264682,0.190288359,0.168362733,0.247455076,0.108847489,0,0.065778529,0.149567924,0.106500614,0.732966173,0.847297957,1,1
0.044704108,0,0.04941099,0.04941099,0.138822673,0.258824175,0.27293962,0.423529208,0.324704917,0.352938696,0.976470792,1,0.957645577,0.851762986,0.694117409,1
0,0.241852438,0.264149769,0.581473707,0.72384103,0.445969605,0.511148187,0.536877129,0.843910064,0.931389807,0.900513928,0.993138694,1,0.958832161,0.914238455,0
0.197823874,0.241301974,0.489126774,0.589130475,0.769564775,0.9695657,0.808692474,0.797825725,0.90217335,0.941301974,1,0.454347625,0.1695657,0,0.076089451,1
0.723119078,0.409945911,0,0.19489415,0.495966615,0.322578737,0.24596908,0.401881333,0.322578737,0.23521704,0.44086104,0.487902037,0.681450813,1,0.934140193,1
0.143399501,0.607549626,0.671698545,1,0.641504261,0.350935869,0.366034518,0.366034518,0.599995782,0.724527244,0.886791771,0.218868641,0.139630112,0,0.192449772,1
0.031494918,0.125982364,0,0.086614166,0.196848174,0.212598326,0.440944111,0.228346683,0.59842678,0.535431558,0.614176933,0.818900183,0.811024209,1,0.98424895,1
0,0.380411231,0.155219286,0.262090435,0.372774246,0.846057431,0.33206115,0.286262561,0.558525926,0.881681147,1,0.86384597,0.815490059,0.706059646,0.638617103,1
1,0.956192875,0.863790466,0.611909531,0.509239532,0.63791765,0.754961567,0.338122672,0.216290007,0.189596516,0.225872226,0,0.257357416,0.431211632,0.359342633,1
0.100814755,0.366941913,0.576614638,0.153229276,0.205649287,0.193553347,0.153229276,0.35886941,0.133064494,1,0.826611434,0.447579073,0,0.29839154,0.112907034,0
0.79612378,0.689326423,0.50162298,0.291269666,0.236244585,0.252426487,0.378641441,0.718452249,0.776705042,0.94821974,1,0.498388425,0.019429003,0,0.097086847,1
0.740159817,1,0.937006447,0.787405318,0.590551974,0.559055869,0.574803921,0.755902498,0.070862209,0.00786597,0,0.133854419,0.28346629,0.149602472,0.181102605,0
0.659999338,0.845004114,0.812500591,0.987498463,1,0.842502388,0.877500544,0.607500922,0.817499314,1,0.972499929,0.590005391,0.465004209,0.399997163,0,1
1,0.126760715,0.117370833,0,0.014084822,0.056338394,0.244131548,0.131455656,0.178404168,0.483568155,0.403755953,0.347417559,0.32394375,0.122065774,0.305163987,1
0.182670293,0.009368671,0,0.154567697,0.128805845,0.131147728,0.189695942,0.346604384,0.447306493,0.515223379,0.901638635,0.747073216,0.791568993,0.782201461,1,1
0.269882533,0,0.503257674,0.62059946,0.795307281,0.838332404,1,0.955672999,0.898305771,0.812254334,0.804433534,0.837028143,0.997392669,0.855280648,0.663626965,1
0.023620921,0,0.269292137,0.23464399,0.310235677,0.53543346,0.557480845,0.576377832,0.596850433,0.669292969,0.68661434,0.82834444,0.826772983,0.888188708,1,1
0,0.242011363,0.292238738,0.315068867,0.35616528,0.442925223,0.630137733,0.648400746,0.68949825,0.726025366,0.739724534,0.712324017,0.799081778,0.977166599,1,1
0.196851105,0.047243462,0,0.102360835,0.204721669,0.14960095,0.472441314,0.28345408,0.346455402,0.354336005,0.322833671,0.173222681,0.464564057,0.330714274,1,0
1,0.908617825,0.754567684,0.605742842,0.678857843,0.767625588,0.436031053,0.109663597,0,0.120103509,0.302873202,0.242823229,0.224545369,0.057440886,0.070497009,1
0.458790257,0.277467935,0.233518694,0.475268154,0.618125687,0.480768969,0.2747298,0,0.304944733,0.673073829,0.722526611,0.730762832,1,0.928565779,0.978015834,0
0,0.112426818,0.254437845,0.183432331,0.088756891,0.177518051,0.39053459,0.443790148,0.461540103,0.443790148,0.396453139,0.621302508,0.615388227,0.828403343,1,1
0,0.120421496,0.188478117,0.261777668,0.308896391,0.308896391,0.214658944,0.324609076,0.366492922,0.492144463,0.575910546,0.60732625,0.910992597,1,0.926698838,1
0.245763424,0.186440048,0.084746064,0.52966088,0.415253936,0.699153008,0.644067824,0.716100928,1,0.673728704,0,0.474575696,0.69067824,0.58898264,0.817796528,1
0.094569181,0,0.243461491,0.488933318,0.627766867,0.619719229,0.583501713,0.657947868,0.521127015,0.629779563,0.672032807,0.766599629,1,0.915493511,0.895372844,1
0,0.072726312,0.418179385,0.381814543,0.399997526,0.672722039,0.781816567,0.818180285,1,0.79999955,0.981822639,0.963637406,0.963637406,0.618179835,0.654546927,1
1,0.97334754,0.567164313,0.439232424,0.406183228,0.426439357,0.497867754,0.346481978,0.433902013,0.216417844,0,0.202558451,0.297441143,0.304903799,0.212153353,1
0.385150127,0.596289362,0.619490001,0.482598911,1,0.895588583,0.849189747,0.867752699,0.614847432,0.426911276,0.415312177,0,0.399074171,0.027846868,0.004645009,1
0,0.252758706,0.392463251,0.481616936,0.406256779,0.44485667,0.608457294,0.714158815,0.778494409,0.513789131,0.694855205,0.603860429,0.634192998,0.699449138,1,1
0.005791121,0.137071046,0.083011651,0.084945932,0.065639962,0,0.069498477,0.125482105,0.627415549,0.343632195,0.857142857,0.689188623,0.754826911,0.953666007,1,0
0.080355553,0.151784198,0.187501094,0.236605263,0.263391134,0.236605263,0.129462811,0.303572513,1,0.825891327,0.915177905,0.598211942,0.303572513,0,0.026787929,0
0.160495601,0.166668248,0.290122545,0,0.345680435,0.456789437,0.493828031,0.413579552,0.314811778,0.370368312,0.592593095,0.722221394,0.870364924,0.944444821,1,1
0.39444263,0.455554963,0.363889717,0.4083302,0.336108072,0.41111578,0.624999187,0,0.45277849,0.658333778,0.686112821,0.772226422,1,0.866659034,0.51944507,0
0.390754254,0,0.226223218,0.187673222,0.089982671,0.537286106,0.598975639,0.347045357,0.23137152,0.390754254,0.431885026,0.64011171,0.771211904,0.904887575,1,1
0,0.025103587,0.09832664,0.211297572,0.146442914,0.271965639,0.207112577,0.244769554,0.112970932,0.447698731,0.43305444,0.508368395,0.46861892,0.525105184,1,0
0.887811873,1,0.591412802,0.488919932,0.587257843,0.772853069,0.754847893,0.69252139,0.756233231,0.663434562,0.53601088,0,0.159279074,0.206371078,0.152354495,1
0.05095333,0,0.108279307,0.159234377,0.184711912,0.229298687,0.248404445,0.280252016,0.133758583,0.235666983,0.375797342,0.955413226,1,0.910828192,0.941363287,1
1,0.756757222,0.493599715,0.560454987,0.669984149,0.504978067,0.448078931,0.396870508,0.258889011,0,0.054054087,0.004266652,0.072545984,0.332859671,0.197723223,1
1,0.979591616,0.959180148,0.680271227,0.585034675,0.571423944,0.360542455,0.653057478,0.530610262,0.544216365,0.571423944,0.401360765,0.163262442,0,0.095233468,1
0.795455675,0.625000455,0.575761581,0.594694852,1,0.833333131,0.643939789,0.681817245,0.121213922,0,0.299247059,0.128789413,0.212122241,0.753785017,0.511359599,1
